,chain,voter,contribution_s,stability_s,popularity_s,commission_s,period_s
3861,stargaze,calibr,47.94372294372294,65.03313844753824,37.81094471873281,67.63850445910816,68.54929577464789
3862,stargaze,ch0pch0pnft,40.12893159234622,68.54933844550652,29.41581700390619,67.63850445910816,4.873239436619716
3863,stargaze,chainflow,26.303262510159065,63.470112155592595,46.62333531873433,42.11951890438665,96.74647887323943
3864,stargaze,chorusone,82.2029822029822,75.1564679206113,59.80990044730753,67.63850445910816,88.38028169014083
3865,stargaze,citadel.one,68.53146853146853,71.74553592901567,69.10465102490528,67.63850445910816,99.99999999999999
3866,stargaze,coinpayu,42.09164818920917,67.4752502712522,19.64812433822617,67.63850445910816,4.408450704225352
3867,stargaze,consensusone,17.340067340067336,63.123718482777726,52.26980984848015,67.63850445910816,87.29577464788731
3868,stargaze,cosmology,32.245532245532246,66.1781547488815,49.07425982713619,67.63850445910816,52.436619718309856
3869,stargaze,cosmosspaces,49.29732103645147,67.80613197087901,44.40658776512873,67.63850445910816,27.33802816901408
3870,stargaze,cosmostation,90.2470298843356,77.08023238212142,83.9363197226764,67.63850445910816,90.70422535211267
3871,stargaze,crosnest,41.407788577599895,69.20017190055076,47.591460902878865,67.63850445910816,68.85915492957746
3872,stargaze,cryptocrewvalidators,72.65528851735748,68.20381863653462,55.92387945510324,67.63850445910816,96.59154929577464
3873,stargaze,cryptodungeon,78.7901849545685,68.39821430412537,39.70707188314307,67.63850445910816,58.323943661971825
3874,stargaze,cryptoplant,69.39942056221126,62.77608690527432,43.382456497249336,67.63850445910816,99.99999999999999
3875,stargaze,cyberg,79.19128390826504,68.72214995406686,43.30709431476576,67.63850445910816,99.99999999999999
3876,stargaze,cyphercore,79.82568299023995,68.73647307049558,43.41475275394531,26.12991394828773,91.32394366197182
3877,stargaze,dankuzonewdaic,62.30728335991495,64.96433136225185,40.338800592671824,67.63850445910816,42.52112676056338
3878,stargaze,daodao,0.0,62.49546435103327,24.48711117083479,67.63850445910816,99.99999999999999
3879,stargaze,decentralizehk,58.686868686868685,61.93091970030275,46.52942342721905,67.63850445910816,59.56338028169013
3880,stargaze,degenpower,40.788840788840794,71.55701168524541,57.51692209280408,67.63850445910816,87.6056338028169
3881,stargaze,dimi,51.10110110110111,64.32878589137815,48.01591343531008,39.17464000011917,99.99999999999999
3882,stargaze,dsrv,62.8087598675834,60.91350800266995,34.115156283155144,67.63850445910816,44.99999999999999
3883,stargaze,dstake,90.31585698252366,69.3374860385491,43.2611386096491,67.63850445910816,99.99999999999999
3884,stargaze,easy2stake,48.253158649198255,67.74576015110851,44.94880101061805,67.63850445910816,93.95774647887323
3885,stargaze,elsehow,40.46209218623011,64.1232473400254,46.13239611645081,67.63850445910816,99.99999999999999
3886,stargaze,empowervalidator,72.58737610850287,69.89526041144408,42.68713095926467,67.63850445910816,49.492957746478865
3887,stargaze,ezstaking.io,53.50695712141494,69.67460221281321,59.395215747178334,67.63850445910816,99.99999999999999
3888,stargaze,forbole,30.74074074074074,69.94087202000408,53.463200716924874,67.63850445910816,75.52112676056338
3889,stargaze,frens,64.7138047138047,70.17102585746072,64.82246874089581,67.63850445910816,68.08450704225352
3890,stargaze,freshstaking,77.72060224890413,69.4044286100917,48.02446616590922,67.63850445910816,99.99999999999999
3891,stargaze,gelotto,56.87776642832822,72.03027712977443,67.16131194910153,67.63850445910816,56.30985915492957
3892,stargaze,goldenratiostaking,58.827266374436185,70.37922124468872,50.214205395098446,67.63850445910816,49.95774647887323
3893,stargaze,gravidaocommunitywithslashingprotection,43.99255715045189,57.57720921565156,34.60148570263629,67.63850445910816,31.830985915492953
3894,stargaze,hathornode,57.355607355607354,69.6130260630785,40.52651496723983,67.63850445910816,61.88732394366197
3895,stargaze,ibcnfts.com,43.8940688940689,67.49274334608985,53.672404355045565,67.63850445910816,68.85915492957746
3896,stargaze,illuminati,44.3963443963444,70.16731893735468,56.40546393106987,67.63850445910816,99.99999999999999
3897,stargaze,imperator.co,89.49618347524107,71.9682299258406,69.82709430410866,67.63850445910816,99.99999999999999
3898,stargaze,inhabitants,61.28581411600279,69.57016047444421,36.370154929591294,26.12991394828773,35.54929577464788
3899,stargaze,interbloc,44.720792834000385,68.5368515462766,27.880256480395783,67.63850445910816,10.760563380281688
3900,stargaze,interblockchainservices,71.46464646464646,69.98345499593215,49.0643913346363,67.63850445910816,99.99999999999999
3901,stargaze,julia,52.17560217560218,58.80469191571842,46.903582951563195,67.63850445910816,99.99999999999999
3902,stargaze,kalianetwork,91.4298424661119,69.78540550753739,58.694315419480446,67.63850445910816,99.99999999999999
3903,stargaze,keplr,52.4759793052476,70.72901349503042,43.36316712439297,26.12991394828773,82.1830985915493
3904,stargaze,kingnodes,81.53826230749308,69.33874675592253,66.0354848816569,67.63850445910816,99.99999999999999
3905,stargaze,kingsuper,74.51599326599326,68.42814056139036,41.49548376446156,37.17888953628897,99.99999999999999
3906,stargaze,kleomedes,29.88215488215488,63.13488222460545,34.1179708346476,67.63850445910816,4.098591549295772
3907,stargaze,larryengineer,52.976430976430976,68.96930373197094,51.15542583874005,67.63850445910816,50.577464788732385
3908,stargaze,mahof,58.81362646068528,68.9220122593348,32.104466064795155,67.63850445910816,68.39436619718309
3909,stargaze,manticore,61.37838869797633,69.62877924177616,38.45736207434551,67.63850445910816,99.99999999999999
3910,stargaze,moonsoon,81.27946127946127,68.78224469659158,46.998095852061866,67.63850445910816,99.99999999999999
3911,stargaze,mtnode,43.66329966329967,64.06253330982793,51.46649685098321,67.63850445910816,99.99999999999999
3912,stargaze,multiplex,50.851370851370845,68.52894715433882,33.548929991232626,67.63850445910816,36.478873239436616
3913,stargaze,n1stake,83.73526936026936,68.51280896534611,42.53419857869782,39.17464000011917,99.99999999999999
3914,stargaze,nacioncrypto,57.082452431289646,64.7157599302268,36.88026404456305,67.63850445910816,49.0281690140845
3915,stargaze,nakoturk,64.49819293855991,62.1227157090282,42.92380522388745,67.63850445910816,99.99999999999999
3916,stargaze,narwhalidatorxshrimpclub,34.209915244398,64.86257826861284,39.85148334599328,67.63850445910816,49.183098591549296
3917,stargaze,needlecast,46.666666666666664,64.50298038234655,47.26779295258504,39.17464000011917,99.99999999999999
3918,stargaze,nitawa,53.37181337181337,65.25605786831834,42.406712820427394,67.63850445910816,99.99999999999999
3919,stargaze,noderunners,52.946127946127945,63.34496246194047,50.286246854444435,67.63850445910816,99.99999999999999
3920,stargaze,nosnode,56.64811379097093,65.54037878104451,37.80786312323172,67.63850445910816,44.38028169014084
3921,stargaze,nysa.network,46.657046657046656,63.27478867130277,45.57190686539911,67.63850445910816,84.8169014084507
3922,stargaze,oldcat,46.4392351184804,69.18571262798766,30.041982946799923,67.63850445910816,6.267605633802816
3923,stargaze,omniflixnetwork,62.10826210826211,73.80750855010673,84.37987408550129,67.63850445910816,91.78873239436619
3924,stargaze,oni,58.31020831020831,65.73153169401753,53.66165852228799,67.63850445910816,67.0
3925,stargaze,orang3club,84.33586804373321,68.84217653769731,40.5649339901884,67.63850445910816,99.99999999999999
3926,stargaze,pen.so,32.43978243978244,70.10467716583489,45.11010561969829,67.63850445910816,60.80281690140845
3927,stargaze,perfectstake,52.11053625687773,65.53872374086326,47.811664903346,67.63850445910816,99.99999999999999
3928,stargaze,ping,38.821548821548824,66.31772765139766,54.02881170452169,67.63850445910816,99.99999999999999
3929,stargaze,polkachu.com,91.0669191919192,74.10636344562776,58.8930621485484,67.63850445910816,89.46478873239435
3930,stargaze,posthumandvs,89.19082125603865,67.67045225347287,76.08198448791043,67.63850445910816,99.99999999999999
3931,stargaze,pupms,71.85624359537402,69.92115864959655,57.638195236874665,67.63850445910816,76.91549295774647
3932,stargaze,quebec,32.2991822991823,64.04366563577251,20.9711636210431,67.63850445910816,1.0
3933,stargaze,ramuchi.tech,91.91919191919192,69.40599254597588,43.3998681177843,67.63850445910816,99.99999999999999
3934,stargaze,rhino,70.73219759786924,70.63453589244715,59.39455482002042,67.63850445910816,91.6338028169014
3935,stargaze,sgtstake,61.42800554565261,69.12708607309546,48.007007722201685,67.63850445910816,99.99999999999999
3936,stargaze,silent,71.42255892255892,68.67168760350211,49.89036413992704,67.63850445910816,99.99999999999999
3937,stargaze,simplystaking,81.23876804858399,69.91982988789131,55.76482143150684,67.63850445910816,99.99999999999999
3938,stargaze,skelliesxrebelswnftswitch,33.939393939393945,64.34676595029752,45.00865493605779,67.63850445910816,41.12676056338028
3939,stargaze,smartnodes,28.181818181818187,67.46845255888864,63.47922519968624,67.63850445910816,86.2112676056338
3940,stargaze,smartstake,74.30422367131229,69.0287517065109,46.19514738255253,67.63850445910816,54.6056338028169
3941,stargaze,spacepotato,70.58428900534165,67.88719395457674,60.17174372733709,67.63850445910816,99.99999999999999
3942,stargaze,stakeangle,92.17042217042216,67.79728187096211,43.213957058137915,26.12991394828773,99.99999999999999
3943,stargaze,stakecito,87.74631561516807,73.31319962086998,70.8183786392681,67.63850445910816,92.56338028169013
3944,stargaze,stakecraft,83.44492544492545,72.28545016082293,56.81765105601893,67.63850445910816,99.99999999999999
3945,stargaze,stakelab,54.689754689754686,73.87753784069449,72.30625349108985,67.63850445910816,99.99999999999999
3946,stargaze,stakepile,55.892255892255896,57.093174645062874,40.945277525087874,67.63850445910816,68.85915492957746
3947,stargaze,stakerhouse,84.97474747474746,69.04997368845177,49.345705627994505,67.63850445910816,99.99999999999999
3948,stargaze,staketab,55.676371558724504,64.71341892287562,50.90006278199319,44.222830560314605,99.99999999999999
3949,stargaze,stakewolle.com,58.85903055714377,68.91105012979459,44.52371465224786,67.63850445910816,79.70422535211267
3950,stargaze,stakin,88.62661704766967,66.78510308142744,51.45319270927781,26.12991394828773,99.99999999999999
3951,stargaze,strangeloveventures,36.36363636363636,72.35600630224064,48.52474806633132,67.63850445910816,60.33802816901408
3952,stargaze,syd,83.89725475615046,68.42118783523769,42.097531367028,67.63850445910816,99.99999999999999
3953,stargaze,testovich,72.21616646077078,69.18122798916656,42.93005675215148,67.63850445910816,99.99999999999999
3954,stargaze,thanos.one,0.0,65.11552273953698,31.483036980251427,67.63850445910816,61.4225352112676
3955,stargaze,thenop.io,47.053872053872055,62.391386836698295,42.527773819719776,67.63850445910816,99.99999999999999
3956,stargaze,thesilverfox,62.68237934904602,68.07576302806775,40.70454414646241,67.63850445910816,49.80281690140845
3957,stargaze,thespaceapesociety,49.930069930069926,63.18264267773114,48.8587704125401,67.63850445910816,60.492957746478865
3958,stargaze,tuzem,81.30372043415521,69.71923278675933,41.787295487769896,67.63850445910816,99.99999999999999
3959,stargaze,ubikcapital,48.95833333333334,69.83312196125578,48.10609005054201,67.63850445910816,99.99999999999999
3960,stargaze,uniqnodes,47.734172324336264,58.32465814684893,34.23729808830785,67.63850445910816,99.99999999999999
3961,stargaze,ushakov,80.2049121067526,64.33028264202677,47.86697679897707,67.63850445910816,99.99999999999999
3962,stargaze,virtualhive,88.89426176660218,67.55752473369623,49.7573285973314,67.63850445910816,90.39436619718309
3963,stargaze,wandererstaking,53.35917312661499,67.00767941038663,54.555811552306366,67.63850445910816,99.99999999999999
3964,stargaze,web34ever,78.575225943647,62.89343022416796,45.41442900669516,37.17888953628897,99.99999999999999
3965,stargaze,whispernode,71.14176591788532,72.96559533843256,55.86304196278928,67.63850445910816,68.70422535211267
3966,stargaze,whitemarlinstaking,72.52098449281549,72.47919273088907,44.08753402579954,67.63850445910816,62.04225352112675
3967,stargaze,witval,42.7363061509403,68.62076753667898,47.34876313558225,67.63850445910816,95.97183098591549
3968,teritori,0base.vc,62.96296296296296,62.03010322435157,48.353761332221055,67.63850445910816,99.01492537313432
3969,teritori,aaametahuahua,67.95735129068461,68.82731283806264,53.50596101027886,67.63850445910816,97.78358208955223
3970,teritori,activenodes,81.4814814814815,53.89960975708705,45.12728488258271,67.63850445910816,99.99999999999999
3971,teritori,allnodes,4.938271604938271,68.85104457586286,53.43620958599968,67.63850445910816,91.38059701492537
3972,teritori,alphanodes.tori,0.0,50.25005060824773,30.382270459003507,40.83481914376797,81.52985074626865
3973,teritori,alxvoyanode.team,81.4814814814815,50.142277169378794,28.848211436370867,39.17464000011917,99.99999999999999
3974,teritori,autostake,57.71604938271605,60.69045968143416,37.54022259701607,67.63850445910816,63.798507462686565
3975,teritori,avalidator,0.0,53.9156487482236,28.658948281100255,26.12991394828773,72.66417910447761
3976,teritori,berty,0.0,55.55962427568749,41.574967399382054,67.63850445910816,99.99999999999999
3977,teritori,blacklodge,64.9270482603816,50.45018869831566,35.42951151710337,67.63850445910816,99.01492537313432
3978,teritori,blacksquare,40.74074074074075,66.84468942459536,23.617186497417737,67.63850445910816,43.35820895522388
3979,teritori,blockhunters,64.55026455026454,68.70827442333291,43.65249171150277,67.63850445910816,99.99999999999999
3980,teritori,bluestake,78.30009496676163,55.51498404175296,42.34403979654775,67.63850445910816,99.99999999999999
3981,teritori,brochain,48.14814814814816,59.26219107499418,39.179478096359745,67.63850445910816,99.99999999999999
3982,teritori,c.r.e.a.m,0.0,66.57887161847552,21.062548928321092,67.63850445910816,36.462686567164184
3983,teritori,chillvalidation,69.83360171765969,57.8900406790803,44.7183169544554,67.63850445910816,99.99999999999999
3984,teritori,chorusone,61.04938271604937,51.333206474671634,33.23287069558772,67.63850445910816,88.67164179104476
3985,teritori,citadel.one,41.358024691358025,64.28283029339991,56.07528458954103,67.63850445910816,99.01492537313432
3986,teritori,cosmoscats,52.38095238095237,60.1470753848899,42.603958763052866,67.63850445910816,99.99999999999999
3987,teritori,cosmospug,64.55026455026454,64.68045191768951,65.74698141497024,67.63850445910816,99.99999999999999
3988,teritori,cosmostation,75.06172839506173,67.25513626795649,56.91767554496925,67.63850445910816,94.82835820895522
3989,teritori,crosnest,56.08465608465608,58.15175242232501,51.025742070613575,67.63850445910816,99.99999999999999
3990,teritori,cryptocrewvalidators,58.14814814814815,61.51740319501532,47.452011601304896,67.63850445910816,99.75373134328358
3991,teritori,cyberg,81.4814814814815,55.81185369215921,39.25958312647658,67.63850445910816,99.99999999999999
3992,teritori,cyphercore,38.271604938271594,49.07914980536307,35.201052886965876,26.12991394828773,98.52238805970148
3993,teritori,defi100icosmosdao,43.20987654320987,60.51228670333203,51.367867222401706,67.63850445910816,99.99999999999999
3994,teritori,dibugnodes,59.25925925925925,49.34633031453223,30.76475938576356,11.679440261094424,99.99999999999999
3995,teritori,earnnetwork,0.0,43.26654700268425,17.983005677161472,67.63850445910816,39.417910447761194
3996,teritori,ecostake,75.78347578347578,68.05855682003265,69.75585375761537,67.63850445910816,99.99999999999999
3997,teritori,equinox,45.67901234567901,61.15536002115617,48.78060405065092,67.63850445910816,99.99999999999999
3998,teritori,ericet,48.14814814814816,49.98430294263379,39.35922124897638,67.63850445910816,99.99999999999999
3999,teritori,forbole,29.876543209876544,55.86345094633581,51.17666280070736,67.63850445910816,99.99999999999999
4000,teritori,freemintnfts,0.0,49.30881594175252,37.0714740039022,67.63850445910816,99.99999999999999
4001,teritori,frens,45.75617283950617,61.13268223391795,57.37098118215659,67.63850445910816,98.27611940298506
4002,teritori,gatadao,71.75925925925925,63.47176261304036,59.095366779677896,67.63850445910816,99.99999999999999
4003,teritori,gelotto,37.77777777777778,63.36298526193362,58.091790572692126,67.63850445910816,97.29104477611939
4004,teritori,goldenratiostaking,71.28287707997852,57.20197468500834,55.327291841264525,67.63850445910816,99.99999999999999
4005,teritori,highstakes.ch,81.4814814814815,55.534890881510535,42.68713095926467,67.63850445910816,99.99999999999999
4006,teritori,interblockchainservices,75.1604938271605,56.920973136796846,41.18843099472452,67.63850445910816,99.99999999999999
4007,teritori,kalianetwork,79.01234567901234,57.81328278430461,43.57880444188335,67.63850445910816,99.99999999999999
4008,teritori,kjnodes.com,47.68518518518518,52.789568342880735,37.60994082950565,26.12991394828773,99.99999999999999
4009,teritori,kleomedes,75.1604938271605,59.2935646510506,56.23825252901903,67.63850445910816,99.99999999999999
4010,teritori,landeros,81.4814814814815,55.56727917376049,34.06795670948398,11.679440261094424,99.99999999999999
4011,teritori,lavender.fivenodes,43.20987654320987,60.36869722046748,54.093624413128225,67.63850445910816,99.99999999999999
4012,teritori,leonoorscryptoman,75.1604938271605,58.18075370258935,35.49992427291077,67.63850445910816,99.99999999999999
4013,teritori,looyestein,38.271604938271594,46.606652552180535,17.983960571980575,67.63850445910816,44.58955223880597
4014,teritori,manticore,45.67901234567901,48.270701432888046,32.472036131696655,26.12991394828773,99.99999999999999
4015,teritori,mms,79.58214624881292,60.09097761104177,47.513336133195466,67.63850445910816,99.99999999999999
4016,teritori,munris,50.617283950617285,51.203935126332134,31.51807577381784,14.701394011325949,99.99999999999999
4017,teritori,nicolas,55.70079883805374,50.55503146014997,30.775086734169538,67.63850445910816,98.02985074626865
4018,teritori,nodejumper,81.4814814814815,49.227103946563005,38.9482598436038,26.12991394828773,99.99999999999999
4019,teritori,nodeprime,38.271604938271594,52.20899911825967,22.177576003906463,67.63850445910816,55.67164179104478
4020,teritori,noderunners,50.61728395061728,51.105110965158275,40.82780735457485,67.63850445910816,99.99999999999999
4021,teritori,nodes.guru,69.31216931216932,58.17117381803866,47.100084031101765,67.63850445910816,99.99999999999999
4022,teritori,nodestake,58.02469135802468,63.30840170448171,54.42090527055288,67.63850445910816,99.99999999999999
4023,teritori,nosnode,37.77777777777778,56.45799090087068,38.43574406635715,67.63850445910816,99.75373134328358
4024,teritori,nuxianlabs,52.505446623093675,58.97670464962418,48.30593187330216,67.63850445910816,99.26119402985074
4025,teritori,nxtpop,0.0,50.98945399550043,32.944573586911176,67.63850445910816,99.99999999999999
4026,teritori,nysa.network,40.74074074074075,50.61430127116478,34.99476574241077,67.63850445910816,99.99999999999999
4027,teritori,onblocnode,45.67901234567901,53.834673903994826,35.874846914999495,67.63850445910816,99.99999999999999
4028,teritori,oni,45.67901234567901,63.82563428456347,57.279075084306584,67.63850445910816,99.99999999999999
